Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 BOA VISTA;82024;2.82944443;-60.66194444;64-10;64-10;64-10
 CARACARAI;82042;1.83249999;-61.12083332;58-10;64-10;64-10
 IAUARETE;82067;0.60222222;-69.19277777;58-10;64-10;64-10
 MACAPA;82098;-0.04499999;-51.11;58-10;58-10;58-10
 SAO GABRIEL DA CACHOEIRA(UAUPES);82106;-0.12527777;-67.06111111;58-10;64-10;64-10
 BARCELOS;82113;-0.97416666;-62.9286111;58-10;58-10;64-10
 SOURE;82141;-0.72777777;-48.51583333;58-10;58-10;58-10
 TRACUATEUA;82145;-1.06361111;-46.86527777;58-10;58-10;58-10
 OBIDOS;82178;-1.905;-55.5236111;58-10;58-10;58-10
 MONTE ALEGRE;82181;-2;-54.07638888;58-10;58-10;58-10
 PORTO DE MOZ;82184;-1.751055;-52.236186;58-10;58-10;58-10
 BREVES;82188;-1.680277;-50.478034;58-10;58-10;58-10
 BELEM;82191;-1.43583333;-48.43722221;58-10;58-10;58-10
 TURIACU;82198;-1.66138888;-45.37194443;58-10;58-10;58-10
 FONTE BOA;82212;-2.51583333;-66.10083333;58-10;58-10;64-10
 PARINTINS;82240;-2.63;-56.73;58-10;64-10;64-10
 BELTERRA;82246;-2.64222221;-54.94388888;58-10;58-10;58-10
 CAMETA;82263;-2.23972221;-49.49972221;58-10;58-10;58-10
 SAO LUIS;82280;-2.52666666;-44.21361111;58-10;58-10;58-10
 PARIBA;82287;-3.08668;-41.783139;58-10;64-10;64-10
 ACARAU;82294;-2.885772;-40.114075;58-10;58-10;58-10
 LUZILANDIA(LAG.DO PIAUI);82296;-3.46972221;-42.26805554;64-10;64-10;64-10
 ESPERANTI;82298;-3.9;-42.25944444;64-10;64-10;64-10
 TEFE;82317;-3.38027777;-64.72527777;58-10;64-10;64-10
 CODAJAS;82326;-3.8411111;-62.05527777;58-10;64-10;64-10
 MAUS;82331;-3.10388888;-60.01555555;58-10;64-10;64-10
 ITACOATIARA;82336;-3.13694444;-58.44277777;58-10;64-10;64-10
 ALTAMIRA;82353;-3.214284;-52.213044;58-10;64-10;64-10
 TUCURUI;82361;-3.76;-49.66666666;58-10;64-10;64-10
 ZE DOCA;82376;-3.269212;-45.651007;58-10;64-10;64-10
 CHAPADINHA;82382;-3.742684;-43.3521;64-10;64-10;64-10
 SOBRAL;82392;-3.74833333;-40.34583333;64-10;64-10;64-10
 FORTALEZA;82397;-3.81527777;-38.53777777;58-10;58-10;58-10
 BENJAMIN CONSTANT;82410;-4.3786111;-70.02999999;58-10;64-10;64-10
 COARI;82425;-4.08534;-63.145144;58-10;64-10;64-10
 BACABAL;82460;-4.21805554;-44.77583332;64-10;64-10;64-10
 CALDEIRAO;82474;-4.328706;-41.721691;64-10;64-10;64-10
 CAXIAS;82476;-4.86722221;-43.35666666;64-10;64-10;64-10
 PIRIPIRI;82480;-4.2761111;-41.79444444;64-10;64-10;64-10
 GUARAMIRANGA;82487;-4.26138888;-38.9311111;52-10;52-10;58-10
 JAGUARUA;82493;-4.85361111;-37.77722221;58-10;64-10;64-10
 MANICORE;82533;-5.81777777;-61.29083333;64-10;64-10;64-10
 MARABA;82562;-5.36611111;-49.12527777;64-10;64-10;64-10
 IMPERATRIZ;82564;-5.53638888;-47.47888888;64-10;64-10;64-10
 BARRA DO CORDA;82571;-5.50638888;-45.23722221;64-10;64-10;64-10
 TERESI;82578;-5.03472221;-42.80138888;64-10;64-10;64-10
 CRATEUS;82583;-5.19055555;-40.6736111;64-10;64-10;64-10
 QUIXERAMOBIM;82586;-5.17305554;-39.28722221;64-10;64-10;64-10
 MORADA NOVA;82588;-5.13666666;-38.35666666;64-10;64-10;64-10
 APODI;82590;-5.62666666;-37.815;64-10;64-10;64-10
 MACAU;82594;-5.15103;-36.573131;58-10;58-10;64-10
 CEARA MIRIM;82596;-5.65333333;-35.42583332;58-10;58-10;58-10
 TAL;82598;-5.83722221;-35.20777777;58-10;58-10;58-10
 EIRUNEPE;82610;-6.66166666;-69.86777777;64-10;64-10;64-10
 ARAGUAI;82659;-7.103778;-48.20133;64-10;64-10;64-10
 SAO FELIX DO XINGU;82668;-6.630799;-51.976014;58-10;64-10;64-10
 COLIS;82676;-6.03305554;-44.23333333;64-10;64-10;64-10
 FLORIANO;82678;-6.76166666;-43.00333333;64-10;64-10;64-10
 TAUA;82683;-6.00638888;-40.29972221;64-10;64-10;64-10
 MORRO DOS CAVALOS;82684;-7.85;-41.9;64-10;64-10;64-10
 IGUATU;82686;-6.39638888;-39.26888888;64-10;64-10;64-10
 SAO GONCALO;82689;-6.83583333;-38.31166666;64-10;64-10;64-10
 SERIDO (CAICO);82690;-6.46749999;-37.08499999;64-10;64-10;64-10
 FLORANIA;82691;-6.12388888;-36.81194444;64-10;64-10;64-10
 CRUZETA;82693;-6.42638888;-36.79138888;64-10;64-10;64-10
 AREIA;82696;-6.97555554;-35.71805554;58-10;58-10;58-10
 CRUZEIRO DO SUL;82704;-7.610736;-72.681324;58-10;64-10;64-10
 LABREA;82723;-7.26138888;-64.78999999;64-10;64-10;64-10
 OURICURI;82753;-7.87944443;-40.09194444;64-10;64-10;64-10
